nakama102  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.022Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.022Z","caller":"migrate/migrate.go:109","msg":"Applying database migrations","limit":-1}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.025Z","caller":"migrate/migrate.go:116","msg":"Successfully applied migration","count":0}
nakama102  | + exec /nakama/nakama --name nakama102 --database.address local:localdb@postgres:5432/nakama --config /nakama/data/nakama.yml
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.031Z","caller":"server/config.go:95","msg":"Successfully loaded config file","path":"/nakama/data/nakama.yml"}
nakama102  | {"level":"warn","ts":"2026-07-15T10:11:10.031Z","caller":"server/config.go:331","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.username"}
nakama102  | {"level":"warn","ts":"2026-07-15T10:11:10.031Z","caller":"server/config.go:335","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.password"}
nakama102  | {"level":"warn","ts":"2026-07-15T10:11:10.031Z","caller":"server/config.go:339","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.signing_key"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.031Z","caller":"main.go:144","msg":"Nakama starting"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.031Z","caller":"main.go:145","msg":"Node","name":"nakama102","version":"3.39.0+721a5d3","runtime":"go1.26.3","cpu":12,"proc":12}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.031Z","caller":"main.go:146","msg":"Data directory","path":"/nakama/data"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.031Z","caller":"main.go:157","msg":"Database connections","dsns":["local:xxxxx@postgres:5432/nakama"]}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.034Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.042Z","caller":"server/leaderboard_rank_cache.go:140","msg":"Initializing leaderboard rank cache"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.042Z","caller":"server/runtime.go:667","msg":"Initialising runtime","path":"/nakama/data/modules"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.042Z","caller":"server/runtime.go:674","msg":"Initialising runtime event queue processor"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.042Z","caller":"server/leaderboard_rank_cache.go:201","msg":"Leaderboard rank cache initialization completed successfully","cached":[],"skipped":[],"duration":"766.625µs"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.042Z","caller":"server/runtime.go:676","msg":"Runtime event queue processor started","size":65536,"workers":8}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.042Z","caller":"server/runtime_go.go:2967","msg":"Initialising Go runtime provider","path":"/nakama/data/modules"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"runtime/main.go:66","msg":"bootstrap runtime loaded, configs ready","runtime":"go"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_go.go:2991","msg":"Go runtime modules loaded"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_lua.go:119","msg":"Initialising Lua runtime provider","path":"/nakama/data/modules"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_lua.go:1276","msg":"Lua runtime modules loaded"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_lua.go:1279","msg":"Allocating minimum Lua runtime pool","count":16}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_lua.go:1287","msg":"Allocated minimum Lua runtime pool"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_javascript.go:654","msg":"Initialising JavaScript runtime provider","path":"/nakama/data/modules","entrypoint":""}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_javascript.go:1775","msg":"JavaScript runtime modules loaded"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_javascript.go:1778","msg":"Allocating minimum JavaScript runtime pool","count":16}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime_javascript.go:1786","msg":"Allocated minimum JavaScript runtime pool"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime.go:767","msg":"Found runtime modules","count":1,"modules":["backend.so"]}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime.go:798","msg":"Registered Go runtime RPC function invocation","id":"get_player_profile"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/runtime.go:2325","msg":"Registered Go runtime After function invocation","id":"authenticatecustom"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/leaderboard_scheduler.go:113","msg":"Leaderboard scheduler start"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.048Z","caller":"server/leaderboard_scheduler.go:310","msg":"Leaderboard scheduler update","end_active":"-1ns","end_active_count":0,"expiry":"-1ns","expiry_count":0}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.049Z","caller":"server/api.go:159","msg":"Starting API server for gRPC requests","port":8359}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.049Z","caller":"server/api.go:329","msg":"Starting API server gateway for HTTP requests","port":8360}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.050Z","caller":"server/console.go:176","msg":"Starting Console server for gRPC requests","port":8358}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:10.050Z","caller":"server/console.go:372","msg":"Starting Console server gateway for HTTP requests","port":8361}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:11.941Z","caller":"main.go:243","msg":"Startup done"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:35.099Z","caller":"server/shutdown.go:50","msg":"Shutdown started"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:35.099Z","caller":"server/shutdown.go:58","msg":"All authoritative matches stopped"}
nakama102  | {"level":"info","ts":"2026-07-15T10:11:35.099Z","caller":"main.go:265","msg":"Shutdown complete"}
[Knakama102 exited with code 0
