nakama  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.653Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.653Z","caller":"migrate/migrate.go:109","msg":"Applying database migrations","limit":-1}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.656Z","caller":"migrate/migrate.go:116","msg":"Successfully applied migration","count":0}
nakama  | + exec /nakama/nakama --name nakama101 --database.address local:localdb@postgres:5432/nakama --config /nakama/data/nakama.yml
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.661Z","caller":"server/config.go:95","msg":"Successfully loaded config file","path":"/nakama/data/nakama.yml"}
nakama  | {"level":"warn","ts":"2026-06-24T11:02:39.662Z","caller":"server/config.go:331","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.username"}
nakama  | {"level":"warn","ts":"2026-06-24T11:02:39.662Z","caller":"server/config.go:335","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.password"}
nakama  | {"level":"warn","ts":"2026-06-24T11:02:39.662Z","caller":"server/config.go:339","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.signing_key"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.662Z","caller":"main.go:144","msg":"Nakama starting"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.662Z","caller":"main.go:145","msg":"Node","name":"nakama101","version":"3.39.0+721a5d3","runtime":"go1.26.3","cpu":12,"proc":12}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.662Z","caller":"main.go:146","msg":"Data directory","path":"/nakama/data"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.662Z","caller":"main.go:157","msg":"Database connections","dsns":["local:xxxxx@postgres:5432/nakama"]}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.665Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.670Z","caller":"server/leaderboard_rank_cache.go:140","msg":"Initializing leaderboard rank cache"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.670Z","caller":"server/runtime.go:667","msg":"Initialising runtime","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.670Z","caller":"server/leaderboard_rank_cache.go:201","msg":"Leaderboard rank cache initialization completed successfully","cached":[],"skipped":[],"duration":"115.166µs"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.671Z","caller":"server/runtime.go:674","msg":"Initialising runtime event queue processor"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.671Z","caller":"server/runtime.go:676","msg":"Runtime event queue processor started","size":65536,"workers":8}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.671Z","caller":"server/runtime_go.go:2967","msg":"Initialising Go runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"runtime/main.go:66","msg":"bootstrap runtime loaded, configs ready","runtime":"go"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_go.go:2991","msg":"Go runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_lua.go:119","msg":"Initialising Lua runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_lua.go:1276","msg":"Lua runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_lua.go:1279","msg":"Allocating minimum Lua runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_lua.go:1287","msg":"Allocated minimum Lua runtime pool"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_javascript.go:654","msg":"Initialising JavaScript runtime provider","path":"/nakama/data/modules","entrypoint":""}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_javascript.go:1775","msg":"JavaScript runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_javascript.go:1778","msg":"Allocating minimum JavaScript runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime_javascript.go:1786","msg":"Allocated minimum JavaScript runtime pool"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.677Z","caller":"server/runtime.go:767","msg":"Found runtime modules","count":1,"modules":["backend.so"]}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.678Z","caller":"server/runtime.go:798","msg":"Registered Go runtime RPC function invocation","id":"get_player_profile"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.678Z","caller":"server/runtime.go:2325","msg":"Registered Go runtime After function invocation","id":"authenticatecustom"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.678Z","caller":"server/leaderboard_scheduler.go:113","msg":"Leaderboard scheduler start"}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.678Z","caller":"server/leaderboard_scheduler.go:310","msg":"Leaderboard scheduler update","end_active":"-1ns","end_active_count":0,"expiry":"-1ns","expiry_count":0}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.678Z","caller":"server/api.go:159","msg":"Starting API server for gRPC requests","port":8349}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.679Z","caller":"server/api.go:329","msg":"Starting API server gateway for HTTP requests","port":8350}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.680Z","caller":"server/console.go:176","msg":"Starting Console server for gRPC requests","port":8348}
nakama  | {"level":"info","ts":"2026-06-24T11:02:39.682Z","caller":"server/console.go:372","msg":"Starting Console server gateway for HTTP requests","port":8351}
nakama  | {"level":"info","ts":"2026-06-24T11:02:40.949Z","caller":"main.go:243","msg":"Startup done"}
nakama  | {"level":"info","ts":"2026-06-24T11:07:45.673Z","caller":"runtime/main.go:211","msg":"player bootstrap complete user=cc1033f6-a2ac-44ad-a508-f359d5a88f74 playerId=0000003 created=true","runtime":"go","api_id":"authenticatecustom","mode":"after","trace_id":"6876425d-d38c-49b0-ae28-14ddbaa1ef53"}
