nakama  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.430Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.433Z","caller":"migrate/migrate.go:109","msg":"Applying database migrations","limit":-1}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.439Z","caller":"migrate/migrate.go:116","msg":"Successfully applied migration","count":0}
nakama  | + exec /nakama/nakama --name nakama1 --database.address local:localdb@postgres:5432/nakama --config /nakama/data/nakama.yml
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.522Z","caller":"server/config.go:94","msg":"Successfully loaded config file","path":"/nakama/data/nakama.yml"}
nakama  | {"level":"warn","ts":"2026-06-08T05:54:44.528Z","caller":"server/config.go:326","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.username"}
nakama  | {"level":"warn","ts":"2026-06-08T05:54:44.528Z","caller":"server/config.go:330","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.password"}
nakama  | {"level":"warn","ts":"2026-06-08T05:54:44.528Z","caller":"server/config.go:334","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.signing_key"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.528Z","caller":"main.go:129","msg":"Nakama starting"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.528Z","caller":"main.go:130","msg":"Node","name":"nakama1","version":"3.22.0+4a4c53d7","runtime":"go1.22.4","cpu":12,"proc":12}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.528Z","caller":"main.go:131","msg":"Data directory","path":"/nakama/data"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.528Z","caller":"main.go:142","msg":"Database connections","dsns":["local:xxxxx@postgres:5432/nakama"]}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.568Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.582Z","caller":"server/leaderboard_rank_cache.go:136","msg":"Initializing leaderboard rank cache"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.585Z","caller":"server/runtime.go:642","msg":"Initialising runtime","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.585Z","caller":"server/leaderboard_rank_cache.go:197","msg":"Leaderboard rank cache initialization completed successfully","cached":[],"skipped":[],"duration":"3.001417ms"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.586Z","caller":"server/runtime.go:649","msg":"Initialising runtime event queue processor"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.586Z","caller":"server/runtime.go:651","msg":"Runtime event queue processor started","size":65536,"workers":8}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.587Z","caller":"server/runtime_go.go:2763","msg":"Initialising Go runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.601Z","caller":"runtime/main.go:51","msg":"bootstrap runtime loaded","runtime":"go"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.601Z","caller":"server/runtime_go.go:2787","msg":"Go runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.601Z","caller":"server/runtime_lua.go:116","msg":"Initialising Lua runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.603Z","caller":"server/runtime_lua.go:1243","msg":"Lua runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.603Z","caller":"server/runtime_lua.go:1246","msg":"Allocating minimum Lua runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.603Z","caller":"server/runtime_lua.go:1254","msg":"Allocated minimum Lua runtime pool"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.603Z","caller":"server/runtime_javascript.go:636","msg":"Initialising JavaScript runtime provider","path":"/nakama/data/modules","entrypoint":""}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.604Z","caller":"server/runtime_javascript.go:1738","msg":"JavaScript runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.604Z","caller":"server/runtime_javascript.go:1741","msg":"Allocating minimum JavaScript runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.604Z","caller":"server/runtime_javascript.go:1749","msg":"Allocated minimum JavaScript runtime pool"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.604Z","caller":"server/runtime.go:678","msg":"Found runtime modules","count":1,"modules":["backend.so"]}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.605Z","caller":"server/runtime.go:709","msg":"Registered Go runtime RPC function invocation","id":"get_player_profile"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.608Z","caller":"server/runtime.go:2193","msg":"Registered Go runtime After function invocation","id":"authenticatecustom"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.609Z","caller":"server/leaderboard_scheduler.go:109","msg":"Leaderboard scheduler start"}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.610Z","caller":"server/leaderboard_scheduler.go:304","msg":"Leaderboard scheduler update","end_active":"-1ns","end_active_count":0,"expiry":"-1ns","expiry_count":0}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.611Z","caller":"server/api.go:138","msg":"Starting API server for gRPC requests","port":7349}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.619Z","caller":"server/api.go:289","msg":"Starting API server gateway for HTTP requests","port":7350}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.635Z","caller":"server/console.go:220","msg":"Starting Console server for gRPC requests","port":7348}
nakama  | {"level":"info","ts":"2026-06-08T05:54:44.637Z","caller":"server/console.go:324","msg":"Starting Console server gateway for HTTP requests","port":7351}
nakama  | {"level":"info","ts":"2026-06-08T05:54:46.143Z","caller":"main.go:229","msg":"Startup done"}
