nakama  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.210Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.210Z","caller":"migrate/migrate.go:109","msg":"Applying database migrations","limit":-1}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.214Z","caller":"migrate/migrate.go:116","msg":"Successfully applied migration","count":0}
nakama  | + exec /nakama/nakama --name nakama1 --database.address local:localdb@postgres:5432/nakama --config /nakama/data/nakama.yml
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.220Z","caller":"server/config.go:95","msg":"Successfully loaded config file","path":"/nakama/data/nakama.yml"}
nakama  | {"level":"warn","ts":"2026-06-08T07:07:40.220Z","caller":"server/config.go:331","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.username"}
nakama  | {"level":"warn","ts":"2026-06-08T07:07:40.220Z","caller":"server/config.go:335","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.password"}
nakama  | {"level":"warn","ts":"2026-06-08T07:07:40.220Z","caller":"server/config.go:339","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.signing_key"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.220Z","caller":"main.go:144","msg":"Nakama starting"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.220Z","caller":"main.go:145","msg":"Node","name":"nakama1","version":"3.39.0+721a5d3","runtime":"go1.26.3","cpu":12,"proc":12}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.220Z","caller":"main.go:146","msg":"Data directory","path":"/nakama/data"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.220Z","caller":"main.go:157","msg":"Database connections","dsns":["local:xxxxx@postgres:5432/nakama"]}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.223Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.230Z","caller":"server/leaderboard_rank_cache.go:140","msg":"Initializing leaderboard rank cache"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.230Z","caller":"server/runtime.go:667","msg":"Initialising runtime","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.230Z","caller":"server/runtime.go:674","msg":"Initialising runtime event queue processor"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.230Z","caller":"server/runtime.go:676","msg":"Runtime event queue processor started","size":65536,"workers":8}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.230Z","caller":"server/runtime_go.go:2967","msg":"Initialising Go runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.230Z","caller":"server/leaderboard_rank_cache.go:201","msg":"Leaderboard rank cache initialization completed successfully","cached":[],"skipped":[],"duration":"389.625µs"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.235Z","caller":"runtime/main.go:52","msg":"bootstrap runtime loaded","runtime":"go"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.235Z","caller":"server/runtime_go.go:2991","msg":"Go runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.235Z","caller":"server/runtime_lua.go:119","msg":"Initialising Lua runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.235Z","caller":"server/runtime_lua.go:1276","msg":"Lua runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.235Z","caller":"server/runtime_lua.go:1279","msg":"Allocating minimum Lua runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.235Z","caller":"server/runtime_lua.go:1287","msg":"Allocated minimum Lua runtime pool"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/runtime_javascript.go:654","msg":"Initialising JavaScript runtime provider","path":"/nakama/data/modules","entrypoint":""}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/runtime_javascript.go:1775","msg":"JavaScript runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/runtime_javascript.go:1778","msg":"Allocating minimum JavaScript runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/runtime_javascript.go:1786","msg":"Allocated minimum JavaScript runtime pool"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/runtime.go:767","msg":"Found runtime modules","count":1,"modules":["backend.so"]}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/runtime.go:798","msg":"Registered Go runtime RPC function invocation","id":"get_player_profile"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/runtime.go:2325","msg":"Registered Go runtime After function invocation","id":"authenticatecustom"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/leaderboard_scheduler.go:113","msg":"Leaderboard scheduler start"}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/leaderboard_scheduler.go:310","msg":"Leaderboard scheduler update","end_active":"-1ns","end_active_count":0,"expiry":"-1ns","expiry_count":0}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.236Z","caller":"server/api.go:159","msg":"Starting API server for gRPC requests","port":7349}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.238Z","caller":"server/api.go:329","msg":"Starting API server gateway for HTTP requests","port":7350}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.240Z","caller":"server/console.go:176","msg":"Starting Console server for gRPC requests","port":7348}
nakama  | {"level":"info","ts":"2026-06-08T07:07:40.240Z","caller":"server/console.go:372","msg":"Starting Console server gateway for HTTP requests","port":7351}
nakama  | {"level":"info","ts":"2026-06-08T07:07:42.399Z","caller":"main.go:243","msg":"Startup done"}
nakama  | {"level":"info","ts":"2026-06-08T09:30:54.262Z","caller":"runtime/main.go:131","msg":"player bootstrap complete user=40bb09ba-e210-48e7-bfb4-21bf771866cd playerId=0000004 created=false","runtime":"go","api_id":"authenticatecustom","mode":"after","trace_id":"349fd465-eac9-4688-ac79-3630e37503be"}
nakama  | {"level":"info","ts":"2026-06-08T09:31:05.941Z","caller":"runtime/main.go:131","msg":"player bootstrap complete user=40bb09ba-e210-48e7-bfb4-21bf771866cd playerId=0000004 created=false","runtime":"go","api_id":"authenticatecustom","mode":"after","trace_id":"8a72b167-6b49-4eef-88f4-d8af9d92b38d"}
nakama  | {"level":"info","ts":"2026-06-08T09:32:02.826Z","caller":"runtime/main.go:131","msg":"player bootstrap complete user=40bb09ba-e210-48e7-bfb4-21bf771866cd playerId=0000004 created=false","runtime":"go","api_id":"authenticatecustom","mode":"after","trace_id":"3b3e4389-c52d-41af-a701-e12433c4807c"}
nakama  | {"level":"info","ts":"2026-06-08T10:01:19.452Z","caller":"runtime/main.go:131","msg":"player bootstrap complete user=40bb09ba-e210-48e7-bfb4-21bf771866cd playerId=0000004 created=false","runtime":"go","api_id":"authenticatecustom","mode":"after","trace_id":"856f1709-e4ef-4015-8e78-fd5b0a709b94"}
