nakama  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.636Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.639Z","caller":"migrate/migrate.go:109","msg":"Applying database migrations","limit":-1}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.644Z","caller":"migrate/migrate.go:116","msg":"Successfully applied migration","count":0}
nakama  | + exec /nakama/nakama --name nakama1 --database.address local:localdb@postgres:5432/nakama --config /nakama/data/nakama.yml
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.729Z","caller":"server/config.go:94","msg":"Successfully loaded config file","path":"/nakama/data/nakama.yml"}
nakama  | {"level":"warn","ts":"2026-06-08T06:23:41.733Z","caller":"server/config.go:326","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.username"}
nakama  | {"level":"warn","ts":"2026-06-08T06:23:41.733Z","caller":"server/config.go:330","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.password"}
nakama  | {"level":"warn","ts":"2026-06-08T06:23:41.733Z","caller":"server/config.go:334","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.signing_key"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.734Z","caller":"main.go:129","msg":"Nakama starting"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.734Z","caller":"main.go:130","msg":"Node","name":"nakama1","version":"3.22.0+4a4c53d7","runtime":"go1.22.4","cpu":12,"proc":12}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.734Z","caller":"main.go:131","msg":"Data directory","path":"/nakama/data"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.734Z","caller":"main.go:142","msg":"Database connections","dsns":["local:xxxxx@postgres:5432/nakama"]}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.772Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.787Z","caller":"server/leaderboard_rank_cache.go:136","msg":"Initializing leaderboard rank cache"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.789Z","caller":"server/leaderboard_rank_cache.go:197","msg":"Leaderboard rank cache initialization completed successfully","cached":[],"skipped":[],"duration":"1.999875ms"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.792Z","caller":"server/runtime.go:642","msg":"Initialising runtime","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.792Z","caller":"server/runtime.go:649","msg":"Initialising runtime event queue processor"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.793Z","caller":"server/runtime.go:651","msg":"Runtime event queue processor started","size":65536,"workers":8}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.793Z","caller":"server/runtime_go.go:2763","msg":"Initialising Go runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.806Z","caller":"runtime/main.go:51","msg":"bootstrap runtime loaded","runtime":"go"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.806Z","caller":"server/runtime_go.go:2787","msg":"Go runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.807Z","caller":"server/runtime_lua.go:116","msg":"Initialising Lua runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.810Z","caller":"server/runtime_lua.go:1243","msg":"Lua runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.810Z","caller":"server/runtime_lua.go:1246","msg":"Allocating minimum Lua runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.810Z","caller":"server/runtime_lua.go:1254","msg":"Allocated minimum Lua runtime pool"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.810Z","caller":"server/runtime_javascript.go:636","msg":"Initialising JavaScript runtime provider","path":"/nakama/data/modules","entrypoint":""}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.811Z","caller":"server/runtime_javascript.go:1738","msg":"JavaScript runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.811Z","caller":"server/runtime_javascript.go:1741","msg":"Allocating minimum JavaScript runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.811Z","caller":"server/runtime_javascript.go:1749","msg":"Allocated minimum JavaScript runtime pool"}
nakama  | {"level":"info","ts":"2026-06-08T06:23:41.811Z","caller":"server/runtime.go:678","msg":"Found runtime modules","count":1,"modules":["backend.so"]}
