nakama  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.780Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.780Z","caller":"migrate/migrate.go:109","msg":"Applying database migrations","limit":-1}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.783Z","caller":"migrate/migrate.go:116","msg":"Successfully applied migration","count":0}
nakama  | + exec /nakama/nakama --name nakama101 --database.address local:localdb@postgres:5432/nakama --config /nakama/data/nakama.yml
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.791Z","caller":"server/config.go:95","msg":"Successfully loaded config file","path":"/nakama/data/nakama.yml"}
nakama  | {"level":"warn","ts":"2026-07-15T03:50:36.791Z","caller":"server/config.go:331","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.username"}
nakama  | {"level":"warn","ts":"2026-07-15T03:50:36.791Z","caller":"server/config.go:335","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.password"}
nakama  | {"level":"warn","ts":"2026-07-15T03:50:36.791Z","caller":"server/config.go:339","msg":"WARNING: insecure default parameter value, change this for production!","param":"console.signing_key"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.791Z","caller":"main.go:144","msg":"Nakama starting"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.791Z","caller":"main.go:145","msg":"Node","name":"nakama101","version":"3.39.0+721a5d3","runtime":"go1.26.3","cpu":12,"proc":12}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.791Z","caller":"main.go:146","msg":"Data directory","path":"/nakama/data"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.791Z","caller":"main.go:157","msg":"Database connections","dsns":["local:xxxxx@postgres:5432/nakama"]}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.794Z","caller":"server/db.go:140","msg":"Database information","version":"PostgreSQL 15.18 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.802Z","caller":"server/leaderboard_rank_cache.go:140","msg":"Initializing leaderboard rank cache"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.802Z","caller":"server/runtime.go:667","msg":"Initialising runtime","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.802Z","caller":"server/leaderboard_rank_cache.go:201","msg":"Leaderboard rank cache initialization completed successfully","cached":[],"skipped":[],"duration":"875.5µs"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.802Z","caller":"server/runtime.go:674","msg":"Initialising runtime event queue processor"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.802Z","caller":"server/runtime.go:676","msg":"Runtime event queue processor started","size":65536,"workers":8}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.802Z","caller":"server/runtime_go.go:2967","msg":"Initialising Go runtime provider","path":"/nakama/data/modules"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.809Z","caller":"runtime/main.go:66","msg":"bootstrap runtime loaded, configs ready","runtime":"go"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.809Z","caller":"server/runtime_go.go:2991","msg":"Go runtime modules loaded"}
nakama  | {"level":"info","ts":"2026-07-15T03:50:36.809Z","caller":"server/runtime_lua.go:119","msg":"Initialising Lua runtime provider","path":"/nakama/data/modules"}
